event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
M,34335121,1,35,80000008,80003072,11468800,20971520,11468800,20971520,0,0,
M,34454410,1,36,80000008,80003072,11796480,20971520,11796480,20971520,0,0,
M,34573598,1,37,80000008,80003072,12124160,20971520,12124160,20971520,0,0,
M,34702688,1,38,80000008,80003072,12451840,20971520,12451840,20971520,0,0,
M,34823553,1,39,80000008,80003072,12779520,20971520,12779520,20971520,0,0,
M,34934500,1,40,80000008,80003072,13107200,20971520,13107200,20971520,0,0,
M,35056701,1,41,80000008,80003072,13434880,20971520,13434880,20971520,0,0,
M,35178927,1,42,80000008,80003072,13762560,20971520,13762560,20971520,0,0,
M,35310795,1,43,80000008,80003072,14090240,20971520,14090240,20971520,0,0,
M,35429669,1,44,80000008,80003072,14417920,20971520,14417920,20971520,0,0,
M,35546128,1,45,80000008,80003072,14745600,20971520,14745600,20971520,0,0,
M,35668263,1,46,80000008,80003072,15073280,20971520,15073280,20971520,0,0,
M,35785268,1,47,80000008,80003072,15400960,20971520,15400960,20971520,0,0,
M,35912653,1,48,80000008,80003072,15728640,20971520,15728640,20971520,0,0,
M,36038076,1,49,80000008,80003072,16056320,20971520,16056320,20971520,0,0,
M,36173637,1,50,80000008,80003072,16384000,20971520,16384000,20971520,0,0,
M,36303165,1,51,80000008,80003072,16711680,20971520,16711680,20971520,0,0,
M,36419883,1,52,80000008,80003072,17039360,20971520,17039360,20971520,0,0,
M,36546183,1,53,80000008,80003072,17367040,20971520,17367040,20971520,0,0,
M,36675011,1,54,80000008,80003072,17694720,20971520,17694720,20971520,0,0,
M,36796384,1,55,80000008,80003072,18022400,20971520,18022400,20971520,0,0,
M,36908943,1,56,80000008,80003072,18350080,20971520,18350080,20971520,0,0,
M,37028116,1,57,80000008,80003072,18677760,20971520,18677760,20971520,0,0,
M,37142990,1,58,80000008,80003072,19005440,20971520,19005440,20971520,0,0,
M,37264329,1,59,80000008,80003072,19333120,20971520,19333120,20971520,0,0,
M,37372711,1,60,80000008,80003072,19660800,20971520,19660800,20971520,0,0,
M,37493694,1,61,80000008,80003072,19988480,20971520,19988480,20971520,0,0,
M,37615917,1,62,80000008,80003072,20316160,20971520,20316160,20971520,0,0,
M,37747598,1,63,80000008,80003072,20643840,20971520,20643840,20971520,0,0,
M,37862308,1,64,80000008,80003072,20971520,20971520,20971520,20971520,0,0,
S,37910932,1,64,80000008,80003072,20971520,20971520,20971520,20971520,0,0,
D,38696844,1,63,80000008,80003072,20643840,21299200,20643840,21299200,0,0,
D,38767510,1,62,80000008,80003072,20316160,21626880,20316160,21626880,0,0,
D,38846820,1,61,80000008,80003072,19988480,21954560,19988480,21954560,0,0,
D,39411016,1,60,80000008,80003072,19660800,22282240,19660800,22282240,0,0,
D,39765156,1,59,80000008,80003072,19333120,22609920,19333120,22609920,0,0,
D,40066364,1,58,80000008,80003072,19005440,22937600,19005440,22937600,0,0,
D,40117119,1,57,80000008,80003072,18677760,23265280,18677760,23265280,0,0,
D,40252776,1,56,80000008,80003072,18350080,23592960,18350080,23592960,0,0,
D,40396179,1,55,80000008,80003072,18022400,23920640,18022400,23920640,0,0,
D,40609636,1,54,80000008,80003072,17694720,24248320,17694720,24248320,0,0,
D,40655021,1,53,80000008,80003072,17367040,24576000,17367040,24576000,0,0,
D,40672433,1,52,80000008,80003072,17039360,24903680,17039360,24903680,0,0,
D,40733021,1,51,80000008,80003072,16711680,25231360,16711680,25231360,0,0,
D,40741697,1,50,80000008,80003072,16384000,25559040,16384000,25559040,0,0,
D,41153521,1,49,80000008,80003072,16056320,25886720,16056320,25886720,0,0,
D,41351661,1,48,80000008,80003072,15728640,26214400,15728640,26214400,0,0,
D,41425265,1,47,80000008,80003072,15400960,26542080,15400960,26542080,0,0,
D,41454568,1,46,80000008,80003072,15073280,26869760,15073280,26869760,0,0,
D,41660431,1,45,80000008,80003072,14745600,27197440,14745600,27197440,0,0,
D,41704136,1,44,80000008,80003072,14417920,27525120,14417920,27525120,0,0,
D,41812162,1,43,80000008,80003072,14090240,27852800,14090240,27852800,0,0,
D,41822371,1,42,80000008,80003072,13762560,28180480,13762560,28180480,0,0,
D,41837488,1,41,80000008,80003072,13434880,28508160,13434880,28508160,0,0,
D,41866149,1,40,80000008,80003072,13107200,28835840,13107200,28835840,0,0,
D,41874065,1,39,80000008,80003072,12779520,29163520,12779520,29163520,0,0,
D,41980958,1,38,80000008,80003072,12451840,29491200,12451840,29491200,0,0,
D,42037735,1,37,80000008,80003072,12124160,29818880,12124160,29818880,0,0,
D,42214579,1,36,80000008,80003072,11796480,30146560,11796480,30146560,0,0,
D,42771531,1,35,80000008,80003072,11468800,30474240,11468800,30474240,0,0,
